ID,age,AFSC,repCount,season,SOB
140,1,1,18,1,dry
141,1,1,18,1,dry
142,1,1,18,1,dry
269,1,2,18,1,dry
270,1,2,18,1,dry
271,1,2,18,1,dry
272,1,2,18,1,dry
273,1,2,18,1,dry
274,1,2,18,1,dry
275,1,2,18,1,dry
399,1,3,18,1,dry
400,1,3,18,1,dry
401,1,3,18,1,dry
402,1,3,18,1,dry
403,1,3,18,1,dry
404,1,3,18,1,dry
405,1,3,18,1,dry
406,1,3,18,1,dry
530,1,4,18,1,dry
531,1,4,18,1,dry
532,1,4,18,1,dry
533,1,4,18,1,dry
534,1,4,18,1,dry
535,1,4,18,1,dry
536,1,4,18,1,dry
537,1,4,18,1,dry
651,1,5,18,1,dry
652,1,5,18,1,dry
653,1,5,18,1,dry
654,1,5,18,1,dry
655,1,5,18,1,dry
656,1,5,18,1,dry
748,1,6,18,1,dry
749,1,6,18,1,dry
834,1,7,18,1,dry
835,1,7,18,1,dry
836,1,7,18,1,dry
837,1,7,18,1,dry
922,1,8,18,1,dry
923,1,8,18,1,dry
924,1,8,18,1,dry
925,1,8,18,1,dry
998,1,9,18,1,dry
999,1,9,18,1,dry
1000,1,9,18,1,dry
134,2,1,17,1,long
135,2,1,17,1,long
136,2,1,17,1,long
137,2,1,17,1,long
138,2,1,17,1,long
139,2,1,17,1,long
263,2,2,17,1,long
264,2,2,17,1,long
265,2,2,17,1,long
266,2,2,17,1,long
267,2,2,17,1,long
268,2,2,17,1,long
397,2,3,17,1,long
398,2,3,17,1,long
526,2,4,17,1,long
527,2,4,17,1,long
528,2,4,17,1,long
529,2,4,17,1,long
647,2,5,17,1,long
648,2,5,17,1,long
649,2,5,17,1,long
650,2,5,17,1,long
744,2,6,17,1,long
745,2,6,17,1,long
746,2,6,17,1,long
747,2,6,17,1,long
832,2,7,17,1,long
833,2,7,17,1,long
920,2,8,17,1,long
921,2,8,17,1,long
990,2,9,17,1,long
991,2,9,17,1,long
992,2,9,17,1,long
993,2,9,17,1,long
994,2,9,17,1,long
995,2,9,17,1,long
996,2,9,17,1,long
997,2,9,17,1,long
129,3,1,16,1,short
130,3,1,16,1,short
131,3,1,16,1,short
132,3,1,16,1,short
133,3,1,16,1,short
260,3,2,16,1,short
261,3,2,16,1,short
262,3,2,16,1,short
391,3,3,16,1,short
392,3,3,16,1,short
393,3,3,16,1,short
394,3,3,16,1,short
395,3,3,16,1,short
396,3,3,16,1,short
522,3,4,16,1,short
523,3,4,16,1,short
524,3,4,16,1,short
525,3,4,16,1,short
643,3,5,16,1,short
644,3,5,16,1,short
645,3,5,16,1,short
646,3,5,16,1,short
741,3,6,16,1,short
742,3,6,16,1,short
743,3,6,16,1,short
830,3,7,16,1,short
831,3,7,16,1,short
917,3,8,16,1,short
918,3,8,16,1,short
919,3,8,16,1,short
987,3,9,16,1,short
988,3,9,16,1,short
989,3,9,16,1,short
125,4,1,15,1,dry
126,4,1,15,1,dry
127,4,1,15,1,dry
128,4,1,15,1,dry
258,4,2,15,1,dry
259,4,2,15,1,dry
386,4,3,15,1,dry
387,4,3,15,1,dry
388,4,3,15,1,dry
389,4,3,15,1,dry
390,4,3,15,1,dry
520,4,4,15,1,dry
521,4,4,15,1,dry
636,4,5,15,1,dry
637,4,5,15,1,dry
638,4,5,15,1,dry
639,4,5,15,1,dry
640,4,5,15,1,dry
641,4,5,15,1,dry
642,4,5,15,1,dry
739,4,6,15,1,dry
740,4,6,15,1,dry
828,4,7,15,1,dry
829,4,7,15,1,dry
914,4,8,15,1,dry
915,4,8,15,1,dry
916,4,8,15,1,dry
984,4,9,15,1,dry
985,4,9,15,1,dry
986,4,9,15,1,dry
124,5,1,14,1,long
250,5,2,14,1,long
251,5,2,14,1,long
252,5,2,14,1,long
253,5,2,14,1,long
254,5,2,14,1,long
255,5,2,14,1,long
256,5,2,14,1,long
257,5,2,14,1,long
383,5,3,14,1,long
384,5,3,14,1,long
385,5,3,14,1,long
514,5,4,14,1,long
515,5,4,14,1,long
516,5,4,14,1,long
517,5,4,14,1,long
518,5,4,14,1,long
519,5,4,14,1,long
635,5,5,14,1,long
737,5,6,14,1,long
